,tweet_datetime,tweet_favorite_count,tweet_id,tweet_imgs_count,tweet_retweet_count,tweet_text
0,Wed Apr 10 04:51:26 +0000 2019,0,1115839682607239173,,1,RT @IIITDelhi: Applications open for MTech (CB) through JNU CEEB Admission process. Candidates can check the JNU CEEB admission process in…
1,Tue Apr 09 16:45:07 +0000 2019,0,1115656899892879361,,13,RT @IIITDelhi: We are delighted to share that IIIT-Delhi is ranked 55 by NIRF this year. We have moved up by 11 positions compared to the p…
2,Tue Apr 09 05:04:27 +0000 2019,0,1115480571323371520,,35,"RT @Harvard: Professor Jelani Nelson founded AddisCoder, a program that teaches students in Ethiopia how to code https://t.co/0sM06p4qxw"
3,Tue Apr 09 05:04:11 +0000 2019,0,1115480504931844101,,16,"RT @emnlp2019: For anyone interested in submitting to EMNLP 2019, the anonymity period begins in less two weeks, on April 21.
https://t.co/…"
4,Mon Apr 08 19:38:09 +0000 2019,0,1115338057400573953,,15,RT @multimediaeval: Announcing the 2019 MediaEval multimedia tasks: https://t.co/V6NMt1vaNV Participation is open for anyone who is interes…
5,Mon Apr 08 07:08:12 +0000 2019,18,1115149324533542912,,2,"Many Congratulations to @midasIIITD student, Shagun Uppal @shagunuppls, on getting selected for the summer internsh… https://t.co/bzhiSm4zuB"
6,Mon Apr 08 03:27:42 +0000 2019,5,1115093836341096449,,0,@midasIIITD thanks all students who have appeared for the interview yesterday. We will announce the interview resul… https://t.co/qxESgZPtKJ
7,Sun Apr 07 14:17:29 +0000 2019,0,1114894970886983680,,0,"@himanchalchandr Meanwhile, complete CV/NLP task first."
8,Sun Apr 07 14:17:09 +0000 2019,0,1114894886292029440,,0,@sayangdipto123 Submit as per the guideline again.
9,Sun Apr 07 11:43:24 +0000 2019,1,1114856195335106560,,1,We request all students whose interview are scheduled today to join at the time given to them and not before or aft… https://t.co/7cnrlj1b9Q
10,Sun Apr 07 06:55:19 +0000 2019,5,1114783695129534464,,2,"Other queries: ""none of the Tweeter Apis give the correct count of favorites tested for most of them, all give the… https://t.co/2jnCTMMqV8"
11,Sun Apr 07 06:53:38 +0000 2019,4,1114783273757151232,,1,"Other queries: ""do we have to make two different repositories on Github as ""Python Problem"" and ""CV Problem"". Or we… https://t.co/45x8RhQcAT"
12,Sun Apr 07 05:32:27 +0000 2019,6,1114762841637175296,,1,"Other queries: ""If using Twitter api, it does not include any information about images in the response objects sent… https://t.co/JEWZB2XTPq"
13,Sun Apr 07 05:29:40 +0000 2019,7,1114762141259763712,,1,"Response to some queries asked by students on @midasIIITD task.
What does the line ""dump the responses into JSONlin… https://t.co/Rr6ri8lyVY"
14,Sat Apr 06 17:11:29 +0000 2019,0,1114576370414292992,,2,RT @kdnuggets: Top 8 #Free Must-Read #Books on #DeepLearning #KDN https://t.co/1DtlN91Yjj
15,Sat Apr 06 16:43:27 +0000 2019,18,1114569315636928512,,3,"@nupur_baghel @PennDATS Congratulation @nupur_baghel on getting admit from @PennDATS. 
She got 5/10 acceptance. She… https://t.co/ooD8yneUwS"
16,Fri Apr 05 16:08:37 +0000 2019,11,1114198161562775553,,1,We have emailed the task details to all candidates who have applied to @midasIIITD internship through IIITD portal.… https://t.co/gZwyr7D2Sw
17,Fri Apr 05 04:05:11 +0000 2019,0,1114016105079693312,,16,"RT @rfpvjr: Our NAACL paper on polarization in language on Twitter surrounding mass shootings is up on arXiv! https://t.co/g7wiegXxDg
This…"
18,Fri Apr 05 04:04:43 +0000 2019,0,1114015987395854336,1.0,11,RT @kdnuggets: Effective Transfer Learning For NLP https://t.co/Z1m0AzlfVv https://t.co/ccX4Uhxjn8
19,Wed Apr 03 18:31:53 +0000 2019,0,1113509442849525760,,59,RT @stanfordnlp: What’s new in @Stanford CS224N Natural Language Processing with Deep Learning for 2019? Question answering—1D CNNs—subword…
20,Wed Apr 03 17:04:32 +0000 2019,0,1113487457780215808,,872,"RT @DeepMindAI: Today we're releasing a large-scale extendable dataset of mathematical questions, for training (and evaluating the abilitie…"
21,Wed Apr 03 09:03:40 +0000 2019,0,1113366445231104001,,16,"RT @ylecun: Congratulations Jitendra Malik !

Awards are raining on FAIRies these days... https://t.co/1WNcSeQLZe"
22,Wed Apr 03 07:46:02 +0000 2019,0,1113346906007265280,,4,"RT @IIITDelhi: Another chance to take admission in the Ph.D. program in IIIT Delhi. 
Admissions open for Ph.D. program mathematics 

Log on…"
23,Tue Apr 02 04:20:13 +0000 2019,8,1112932724090851328,,1,"Dear @midasIIITD internship candidates who have submitted their solutions to the task, we have sent you an email re… https://t.co/4lCcAmwBKc"
24,Tue Apr 02 02:44:54 +0000 2019,5,1112908735930908673,,1,"Looking forward to your paper submission to @IEEEBigMM19. 

Important Dates:
Regular Paper: 11:59pm PST, May 10, 20… https://t.co/ODYKLC8z0s"
25,Tue Apr 02 02:35:44 +0000 2019,0,1112906429646737408,,7,RT @ngrams: Reproducibility in multimedia research in @sigmm records https://t.co/hOyMxtmy7A Plus reminder to past-year authors: Today 1 Ap…
26,Mon Apr 01 06:53:08 +0000 2019,7,1112608819702571010,,2,"Online application for https://t.co/DJFDrQsHZP. Admission 2019 at @IIITDelhi has been open

Log on to know more and… https://t.co/iqmGyRn1R0"
27,Sun Mar 31 10:21:24 +0000 2019,0,1112298842681049088,,10,RT @ACMMM19: A final reminder of the Reproducibility Track: Authors of 2017 and 2018 papers are invited to submit a short reproducibility p…
28,Fri Mar 29 19:43:24 +0000 2019,0,1111715499677614080,,2,RT @isarth23: Thanks for the support and help @debanjanbhucs @RatnRajiv and @midasIIITD. It was a great learning experience! Glad to be par…
29,Fri Mar 29 17:16:40 +0000 2019,9,1111678572559622144,,1,"Since SemEval-2019 will be held June 6-7, 2019 in Minneapolis, USA, collocated with NAACL-HLT 2019, it will great s… https://t.co/Jrl1uSesPc"
30,Fri Mar 29 17:04:30 +0000 2019,2,1111675510474498049,,0,"+@aggarwal_kartik.
Congrats! Wish you many more success."
31,Fri Mar 29 17:03:29 +0000 2019,0,1111675253959200774,,1,"RT @aggarwal_kartik: Our work (@midasIIITD ) accepted at SemEval 2019 at @NAACLHLT : ""MIDAS at SemEval-2019 Task 9: Suggestion Mining from…"
32,Fri Mar 29 17:02:24 +0000 2019,9,1111674984777371649,,1,"Congratulations! @midasIIITD team, @isarth23 @LaibaMehnaz @Simcyy @debanjanbhucs @RatnRajiv @the_dhumketu for getti… https://t.co/z8pT3ojhoP"
33,Fri Mar 29 05:35:22 +0000 2019,0,1111502084736581633,,0,"@EEMLcommunity @radamihalcea too many deadlines coming, @ACMMM19 @IEEEBigMM19 @EEMLcommunity"
34,Thu Mar 28 16:55:01 +0000 2019,0,1111310737153024000,,719,"RT @stanfordnlp: CS224N Natural Language Processing with Deep Learning 2019 @Stanford course videos by @chrmanning, @abigail_e_see &amp; guests…"
35,Thu Mar 28 16:54:37 +0000 2019,0,1111310635877294080,,155,RT @ylecun: Learn PyTorch by running on Google GPUs for free. https://t.co/pt038TMnWR
36,Wed Mar 27 16:09:09 +0000 2019,4,1110936808123035648,,1,"Dr. Vineeth N Balasubramanian will present a Talk on ""Towards Explainable Deep Learning: Adding Why to What"" on 28t… https://t.co/Ts0s7oi3Q9"
